AreaCB AreaCH PerimeterCH MaxD MinD AverageD PointsCH AverageA slice0 slice1 slice2 slice3 slice4 slice5 slice6 slice7 slice8 slice9 class
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3.38804e-06 -0.5 1.03402 1.41421 1 1.16569 0.6 0.284924 1 0 2 1 0 0 0 0 0 1 0
-0.000714876 -0.727586 1.26902 9.21954 3 6.15712 0.196078 -0.120195 4 9 4 3 10 4 4 4 5 4 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-1.01641e-05 -1 1 2 0 1.08284 0.8 1.00818 1 0 0 0 0 0 0 0 3 1 0
-0.195761 -0.576158 1.85323 215.058 7.07107 114.006 0.0131406 2.11837 322 109 6 11 301 391 168 90 48 76 1
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
-0.000745369 -0.948276 1.03157 7.81025 5 5.97591 0.333333 1.07097 4 3 4 3 3 3 4 3 4 5 0
-0.00262912 -0.87191 1.12807 18.6011 4.47214 11.753 0.158537 0.258717 6 6 10 16 5 3 8 8 9 11 0
-0.00291033 -0.93675 1.04167 19.2354 7.2111 12.2172 0.148148 2.11571 9 7 8 7 6 14 9 4 8 9 0
-0.0328843 -0.854026 1.17829 82.4197 11.6619 46.9422 0.0597826 2.04487 74 24 8 19 58 74 31 10 21 49 0
-0.00304923 -0.929752 1.05381 20.2485 8.06226 12.8072 0.166667 0.866156 5 9 13 7 8 5 5 13 13 6 0
-0.000701324 -0.962791 1.028 7.81025 5 5.82421 0.314286 0.900972 3 3 3 4 3 3 4 3 3 6 0
-9.48651e-05 -0.8 1.06831 5 0 2.63824 0.333333 0.190701 5 1 1 1 3 3 0 0 2 2 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000609847 -0.703125 1.24257 9.89949 1 5.94061 0.229167 2.04583 5 2 1 8 9 3 4 6 5 5 0
-0.00419439 -0.791054 1.18676 29.1548 4.24264 16.4019 0.109375 1.22548 6 7 14 12 20 6 4 9 37 13 0
-0.000308312 -0.978495 1.00808 6.7082 1 4.33764 0.16129 0.173073 5 2 2 3 5 5 0 1 2 6 0
-0.0156934 -0.812062 1.39465 49.1935 8.06226 28.3457 0.0588235 -2.0284 18 28 45 19 18 17 16 54 43 14 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
4.74325e-05 1 1 2.23607 1 1.66257 0.75 -0.0540399 2 1 1 1 0 1 1 1 0 0 0
-0.0521995 -0.814453 1.18054 102.694 17.6918 58.4211 0.0428266 1.22147 94 15 14 22 111 60 26 22 27 76 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.00311361 -0.933943 1.0421 21.1896 8.06226 12.9795 0.164706 1.03339 6 12 10 7 7 5 7 15 10 6 0
-0.000769085 -0.941909 1.03625 8.48528 5 6.12113 0.297297 0.52528 6 4 3 4 3 3 4 3 3 4 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.036723 -0.665214 1.85654 86.7006 6.08276 43.6481 0.0363636 -2.74445 66 25 44 82 81 66 32 8 46 155 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000359132 -0.946429 1.01874 6.7082 2.82843 4.38717 0.2 1.5323 2 3 3 3 2 2 4 4 5 2 0
-0.00138571 -0.935927 1.12897 11.6619 5.38516 8.23089 0.169492 -0.958426 5 6 8 4 5 8 7 7 3 6 0
-0.0018973 -0.861538 1.18036 14.2127 6.7082 9.62416 0.142857 -1.64025 6 6 5 10 7 6 6 6 9 9 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.00447221 -0.88 1.18466 26.9072 7.81025 15.9335 0.161017 1.59074 14 18 9 5 6 17 21 11 8 9 0
-0.00395045 -0.907393 1.15922 18.3848 4.12311 13.4091 0.13 -1.45285 10 9 8 13 9 9 10 13 7 12 0
-0.00329656 -0.845352 1.07086 19.4165 5 13.1533 0.120879 2.48843 9 9 9 6 11 19 5 3 11 9 0
-0.000664056 -0.848485 1.18125 8.60233 2.82843 5.7438 0.181818 0.102681 6 4 4 4 7 4 2 5 5 3 0
-0.079148 -0.624509 1.23529 136.015 7 72.4232 0.0225564 -1.64988 71 107 20 0 0 217 50 46 62 92 0
0.000115193 0.971429 1.00992 4.47214 1.41421 2.62671 0.5 0.980914 3 0 1 1 2 2 0 1 2 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
